epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9267287254333496,0.9248363971710205,0.9616841673851013,0.9248363971710205
0,45,0.976589024066925,,,,,
1,49,,0.8888946771621704,,,,
1,91,,,0.9240098595619202,0.9432539939880371,0.97121262550354,0.9432539939880371
1,91,0.960850179195404,,,,,
2,99,,0.8653600215911865,,,,
2,137,,,0.8668006062507629,0.8655952215194702,0.9303737282752991,0.8655952215194702
2,137,0.8967029452323914,,,,,
3,149,,0.9539607763290405,,,,
3,183,,,0.8691248893737793,0.8539387583732605,0.9240880608558655,0.8539387583732605
3,183,0.8682138919830322,,,,,
4,199,,0.9422690868377686,,,,
4,229,,,0.8497500419616699,0.8318953514099121,0.9120829701423645,0.8318952918052673
4,229,0.85237056016922,,,,,
5,249,,0.8206707239151001,,,,
5,275,,,0.8316819667816162,0.8113720417022705,0.9007619023323059,0.8113720417022705
5,275,0.817768931388855,,,,,
6,299,,0.6590396165847778,,,,
6,321,,,0.8001434206962585,0.7852787375450134,0.8861595392227173,0.7852787375450134
6,321,0.7844266891479492,,,,,
7,349,,0.6891425251960754,,,,
7,367,,,0.7759546041488647,0.7382906675338745,0.8592384457588196,0.7382906675338745
7,367,0.7459482550621033,,,,,
8,399,,0.7061581611633301,,,,
8,413,,,0.7503697872161865,0.7026675343513489,0.8382526636123657,0.7026675343513489
8,413,0.710820734500885,,,,,
9,449,,0.6413489580154419,,,,
9,459,,,0.7218683362007141,0.6687635183334351,0.8177796006202698,0.6687635779380798
9,459,0.6839036345481873,,,,,
10,499,,0.7091526389122009,,,,
10,505,,,0.7009181976318359,0.6485217809677124,0.8053085207939148,0.6485217809677124
10,505,0.6580832600593567,,,,,
11,549,,0.590688943862915,,,,
11,551,,,0.6852758526802063,0.6384166479110718,0.7990097999572754,0.6384166479110718
11,551,0.6378011107444763,,,,,
12,597,,,0.6738375425338745,0.63496333360672,0.7968458533287048,0.63496333360672
12,597,0.6225430965423584,,,,,
13,599,,0.786260724067688,,,,
13,643,,,0.6667165756225586,0.6398096084594727,0.7998809814453125,0.6398096084594727
13,643,0.6118614673614502,,,,,
14,649,,0.6858449578285217,,,,
14,689,,,0.6476542353630066,0.6234580874443054,0.7895936369895935,0.6234580874443054
14,689,0.6064947247505188,,,,,
15,699,,0.5941135883331299,,,,
15,735,,,0.6313636898994446,0.6017332077026367,0.775714635848999,0.6017332077026367
15,735,0.5985889434814453,,,,,
16,749,,0.6283560991287231,,,,
16,781,,,0.6236376166343689,0.5923174023628235,0.7696216106414795,0.5923174023628235
16,781,0.5849422216415405,,,,,
17,799,,0.6179466247558594,,,,
17,827,,,0.6167195439338684,0.585932195186615,0.7654621005058289,0.585932195186615
17,827,0.5754019021987915,,,,,
18,849,,0.6285400390625,,,,
18,873,,,0.6091104745864868,0.5793173313140869,0.7611289620399475,0.5793173313140869
18,873,0.5690236687660217,,,,,
19,899,,0.5753594636917114,,,,
19,919,,,0.6032216548919678,0.5763739347457886,0.759192943572998,0.5763739347457886
19,919,0.5635629296302795,,,,,
20,949,,0.6018722057342529,,,,
20,965,,,0.5966043472290039,0.5734906792640686,0.7572916746139526,0.5734906792640686
20,965,0.5586225986480713,,,,,
21,999,,0.6532573699951172,,,,
21,1011,,,0.5895683169364929,0.5716143846511841,0.7560518383979797,0.5716143846511841
21,1011,0.5537159442901611,,,,,
22,1049,,0.5947448015213013,,,,
22,1057,,,0.5836079120635986,0.5699493288993835,0.7549498677253723,0.5699493288993835
22,1057,0.5486679077148438,,,,,
23,1099,,0.4702480435371399,,,,
23,1103,,,0.5777241587638855,0.566550076007843,0.7526952028274536,0.566550076007843
23,1103,0.5438088774681091,,,,,
24,1149,,0.3071228265762329,,,,
24,1149,,,0.5726667046546936,0.5629798769950867,0.7503198385238647,0.5629798769950867
24,1149,0.5388565063476562,,,,,
25,1195,,,0.5691238045692444,0.5601149201393127,0.7484082579612732,0.5601149201393127
25,1195,0.5335999727249146,,,,,
26,1199,,0.5899022817611694,,,,
26,1241,,,0.5666226744651794,0.5577274560928345,0.7468115091323853,0.5577274560928345
26,1241,0.5282814502716064,,,,,
27,1249,,0.5689527988433838,,,,
27,1287,,,0.5642585754394531,0.5555400252342224,0.7453455924987793,0.5555400252342224
27,1287,0.5238355994224548,,,,,
28,1299,,0.48408862948417664,,,,
28,1333,,,0.5623144507408142,0.5536628365516663,0.7440852522850037,0.5536628365516663
28,1333,0.5200573801994324,,,,,
29,1349,,0.5058258771896362,,,,
29,1379,,,0.5603569746017456,0.5515131950378418,0.7426393628120422,0.5515131950378418
29,1379,0.5167368650436401,,,,,
