epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9212751984596252,0.9332372546195984,0.9660420417785645,0.9332372546195984
0,45,0.985683262348175,,,,,
1,49,,0.8837367296218872,,,,
1,91,,,0.9262961149215698,0.963833212852478,0.9817500710487366,0.963833212852478
1,91,0.9604012370109558,,,,,
2,99,,0.8468877673149109,,,,
2,137,,,0.8823845982551575,0.874298095703125,0.9350391030311584,0.874298095703125
2,137,0.9162783622741699,,,,,
3,149,,0.9661802053451538,,,,
3,183,,,0.8618568778038025,0.8267657160758972,0.9092665910720825,0.8267657160758972
3,183,0.8597670793533325,,,,,
4,199,,0.9182049632072449,,,,
4,229,,,0.8280977606773376,0.8098922371864319,0.8999401330947876,0.8098922371864319
4,229,0.8577409386634827,,,,,
5,249,,0.8027850985527039,,,,
5,275,,,0.8242162466049194,0.7919798493385315,0.8899325132369995,0.7919798493385315
5,275,0.8309459090232849,,,,,
6,299,,0.6877907514572144,,,,
6,321,,,0.8033016324043274,0.7712220549583435,0.8781924843788147,0.7712220549583435
6,321,0.8228767514228821,,,,,
7,349,,0.6745673418045044,,,,
7,367,,,0.7877807021141052,0.7462512850761414,0.8638584017753601,0.7462512850761414
7,367,0.787314236164093,,,,,
8,399,,0.7830568552017212,,,,
8,413,,,0.7546449303627014,0.7142966389656067,0.845160722732544,0.7142966389656067
8,413,0.7564079761505127,,,,,
9,449,,0.6955370903015137,,,,
9,459,,,0.7247366309165955,0.6908692121505737,0.8311854004859924,0.6908692121505737
9,459,0.7270563840866089,,,,,
10,499,,0.6650331616401672,,,,
10,505,,,0.7007769346237183,0.668548047542572,0.8176478743553162,0.668548047542572
10,505,0.6980094313621521,,,,,
11,549,,0.5521873831748962,,,,
11,551,,,0.6816905736923218,0.6506145596504211,0.8066068291664124,0.6506145596504211
11,551,0.673008918762207,,,,,
12,597,,,0.6670299768447876,0.6378089785575867,0.7986294031143188,0.6378089785575867
12,597,0.6568686366081238,,,,,
13,599,,0.8033345937728882,,,,
13,643,,,0.6554984450340271,0.6267276406288147,0.7916613221168518,0.6267276406288147
13,643,0.6442215442657471,,,,,
14,649,,0.9059198498725891,,,,
14,689,,,0.6455760598182678,0.6184510588645935,0.7864165902137756,0.6184510588645935
14,689,0.6335527896881104,,,,,
15,699,,0.645776629447937,,,,
15,735,,,0.6396095156669617,0.6138529181480408,0.7834876775741577,0.6138529181480408
15,735,0.62565678358078,,,,,
16,749,,0.6399827003479004,,,,
16,781,,,0.6318479776382446,0.6082465052604675,0.7799015641212463,0.6082465052604675
16,781,0.6184941530227661,,,,,
17,799,,0.7103984355926514,,,,
17,827,,,0.6221126914024353,0.5998602509498596,0.7745064496994019,0.5998602509498596
17,827,0.6088341474533081,,,,,
18,849,,0.6752126216888428,,,,
18,873,,,0.6107103824615479,0.5905424952507019,0.7684676647186279,0.5905424952507019
18,873,0.5979761481285095,,,,,
19,899,,0.5962193012237549,,,,
19,919,,,0.6018344759941101,0.5829153060913086,0.7634888887405396,0.5829153060913086
19,919,0.5874797105789185,,,,,
20,949,,0.7661157846450806,,,,
20,965,,,0.5952032804489136,0.5773121118545532,0.7598105669021606,0.5773121118545532
20,965,0.5785592794418335,,,,,
21,999,,0.6375004649162292,,,,
21,1011,,,0.5905324816703796,0.5729138255119324,0.7569107413291931,0.5729138255119324
21,1011,0.5714598298072815,,,,,
22,1049,,0.6083945631980896,,,,
22,1057,,,0.5862398743629456,0.5692011713981628,0.7544542551040649,0.5692011713981628
22,1057,0.5653603076934814,,,,,
23,1099,,0.4571167826652527,,,,
23,1103,,,0.5825695395469666,0.5661267042160034,0.7524139285087585,0.5661267042160034
23,1103,0.5599642395973206,,,,,
24,1149,,0.3177182972431183,,,,
24,1149,,,0.579501748085022,0.5635891556739807,0.7507257461547852,0.5635891556739807
24,1149,0.5552181005477905,,,,,
25,1195,,,0.5767948627471924,0.5613144040107727,0.7492092251777649,0.5613144040107727
25,1195,0.5509685277938843,,,,,
26,1199,,0.513307511806488,,,,
26,1241,,,0.5747237801551819,0.5591588616371155,0.747769296169281,0.5591588616371155
26,1241,0.5469614863395691,,,,,
27,1249,,0.5331853628158569,,,,
27,1287,,,0.5727368593215942,0.5575012564659119,0.746660053730011,0.5575012564659119
27,1287,0.5432087182998657,,,,,
28,1299,,0.5224004983901978,,,,
28,1333,,,0.5711575746536255,0.5562117695808411,0.7457960247993469,0.5562117695808411
28,1333,0.5397007465362549,,,,,
29,1349,,0.4471418261528015,,,,
29,1379,,,0.5701442956924438,0.5552983283996582,0.7451834082603455,0.5552983283996582
29,1379,0.536449670791626,,,,,
