epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9268217086791992,0.9265540242195129,0.9625767469406128,0.9265540242195129
0,45,0.972581684589386,,,,,
1,49,,0.9223890900611877,,,,
1,91,,,0.9294955730438232,0.9128609895706177,0.9554376006126404,0.9128609895706177
1,91,0.9453586935997009,,,,,
2,99,,0.8678789138793945,,,,
2,137,,,0.8994029760360718,0.8668070435523987,0.9310247302055359,0.8668070435523987
2,137,0.8881796598434448,,,,,
3,149,,0.9703176617622375,,,,
3,183,,,0.9182097315788269,0.8974884152412415,0.9473586678504944,0.8974884152412415
3,183,0.9200082421302795,,,,,
4,199,,0.8836290836334229,,,,
4,229,,,0.8518047332763672,0.8252856731414795,0.9084523320198059,0.8252856731414795
4,229,0.8500595092773438,,,,,
5,249,,0.6994988918304443,,,,
5,275,,,0.8224924802780151,0.7898619771003723,0.8887417912483215,0.7898619771003723
5,275,0.8013892769813538,,,,,
6,299,,0.6941076517105103,,,,
6,321,,,0.7925752997398376,0.772486686706543,0.8789122104644775,0.772486686706543
6,321,0.7636696100234985,,,,,
7,349,,0.614700973033905,,,,
7,367,,,0.7693227529525757,0.7532707452774048,0.867911696434021,0.7532707452774048
7,367,0.7326808571815491,,,,,
8,399,,0.5382411479949951,,,,
8,413,,,0.7442917227745056,0.7284619808197021,0.8534998297691345,0.7284619808197021
8,413,0.7049199342727661,,,,,
9,449,,0.6928713917732239,,,,
9,459,,,0.7245625853538513,0.7131129503250122,0.844460129737854,0.7131128907203674
9,459,0.6780887842178345,,,,,
10,499,,0.7174870371818542,,,,
10,505,,,0.715844452381134,0.7183187007904053,0.8475368618965149,0.7183187007904053
10,505,0.6560159921646118,,,,,
11,549,,0.6673711538314819,,,,
11,551,,,0.7128949165344238,0.7289713025093079,0.8537981510162354,0.7289713025093079
11,551,0.6446810960769653,,,,,
12,597,,,0.6876749396324158,0.6827671527862549,0.8262972831726074,0.6827671527862549
12,597,0.6431741118431091,,,,,
13,599,,0.8435762524604797,,,,
13,643,,,0.6660813689231873,0.6458247900009155,0.8036322593688965,0.6458247900009155
13,643,0.632569432258606,,,,,
14,649,,0.8475140333175659,,,,
14,689,,,0.6511330008506775,0.6295361518859863,0.7934331297874451,0.6295361518859863
14,689,0.617581307888031,,,,,
15,699,,0.6109012365341187,,,,
15,735,,,0.6396856904029846,0.6172648072242737,0.7856619954109192,0.6172648072242737
15,735,0.6077057719230652,,,,,
16,749,,0.6657572984695435,,,,
16,781,,,0.6316056847572327,0.6101340055465698,0.7811107635498047,0.6101340651512146
16,781,0.6000795960426331,,,,,
17,799,,0.7969052791595459,,,,
17,827,,,0.6247314810752869,0.6037361025810242,0.777004599571228,0.6037361025810242
17,827,0.5938099026679993,,,,,
18,849,,0.6422744989395142,,,,
18,873,,,0.6175413727760315,0.6002222299575806,0.7747400999069214,0.6002222895622253
18,873,0.5861644744873047,,,,,
19,899,,0.5649358034133911,,,,
19,919,,,0.6121822595596313,0.5991412401199341,0.7740421295166016,0.5991412401199341
19,919,0.5780044198036194,,,,,
20,949,,0.6208674907684326,,,,
20,965,,,0.6074275970458984,0.5978939533233643,0.7732360363006592,0.5978939533233643
20,965,0.5713485479354858,,,,,
21,999,,0.667270302772522,,,,
21,1011,,,0.6036195158958435,0.5974279046058655,0.77293461561203,0.5974279046058655
21,1011,0.5659565925598145,,,,,
22,1049,,0.6699819564819336,,,,
22,1057,,,0.6002746224403381,0.5961847305297852,0.772130012512207,0.5961847305297852
22,1057,0.5618577599525452,,,,,
23,1099,,0.41345053911209106,,,,
23,1103,,,0.5973237752914429,0.59520024061203,0.7714922428131104,0.59520024061203
23,1103,0.55812007188797,,,,,
24,1149,,0.32664525508880615,,,,
24,1149,,,0.5940361618995667,0.5924181938171387,0.7696870565414429,0.5924181938171387
24,1149,0.5544764995574951,,,,,
25,1195,,,0.5909175872802734,0.5888802409172058,0.7673853039741516,0.5888802409172058
25,1195,0.5507187843322754,,,,,
26,1199,,0.5710543394088745,,,,
26,1241,,,0.587641716003418,0.5849939584732056,0.7648490071296692,0.5849938988685608
26,1241,0.5467000603675842,,,,,
27,1249,,0.5162245035171509,,,,
27,1287,,,0.5848296284675598,0.5814571380615234,0.7625333666801453,0.5814571380615234
27,1287,0.5422952175140381,,,,,
28,1299,,0.5518454909324646,,,,
28,1333,,,0.5827091336250305,0.578922688961029,0.7608696818351746,0.578922688961029
28,1333,0.5379268527030945,,,,,
29,1349,,0.3647921681404114,,,,
29,1379,,,0.5810664892196655,0.5771676301956177,0.7597154974937439,0.5771676301956177
29,1379,0.5337668657302856,,,,,
