epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9111072421073914,0.9211211800575256,0.9597505927085876,0.9211211800575256
0,45,0.9778499007225037,,,,,
1,49,,0.9053043127059937,,,,
1,91,,,0.9275467395782471,0.9648206233978271,0.982252836227417,0.9648206233978271
1,91,0.9660409688949585,,,,,
2,99,,0.8506221771240234,,,,
2,137,,,0.8773857355117798,0.8782641291618347,0.9371575117111206,0.8782641291618347
2,137,0.9181749224662781,,,,,
3,149,,0.9405498504638672,,,,
3,183,,,0.8549526929855347,0.8240152597427368,0.9077528715133667,0.8240152597427368
3,183,0.8617852330207825,,,,,
4,199,,0.9216945171356201,,,,
4,229,,,0.8600896596908569,0.8565791845321655,0.9255156517028809,0.8565791845321655
4,229,0.8907987475395203,,,,,
5,249,,0.8075751662254333,,,,
5,275,,,0.8184165358543396,0.7929295897483826,0.8904659748077393,0.7929295897483826
5,275,0.8336336612701416,,,,,
6,299,,0.6963825225830078,,,,
6,321,,,0.8024008870124817,0.7754273414611816,0.8805835247039795,0.7754273414611816
6,321,0.8020205497741699,,,,,
7,349,,0.6908345222473145,,,,
7,367,,,0.7735352516174316,0.7508044242858887,0.8664897084236145,0.7508044242858887
7,367,0.7708852291107178,,,,,
8,399,,0.5816315412521362,,,,
8,413,,,0.7548027634620667,0.7194865942001343,0.8482255339622498,0.7194865942001343
8,413,0.739777147769928,,,,,
9,449,,0.804884672164917,,,,
9,459,,,0.7308610081672668,0.6887347102165222,0.8299003839492798,0.6887347102165222
9,459,0.7160916924476624,,,,,
10,499,,0.8071479797363281,,,,
10,505,,,0.709644079208374,0.6669456958770752,0.8166674375534058,0.6669456958770752
10,505,0.692564845085144,,,,,
11,549,,0.6295325756072998,,,,
11,551,,,0.6926398277282715,0.655342161655426,0.8095320463180542,0.655342161655426
11,551,0.6734863519668579,,,,,
12,597,,,0.6762449145317078,0.647654116153717,0.8047695755958557,0.647654116153717
12,597,0.6593420505523682,,,,,
13,599,,0.8142741322517395,,,,
13,643,,,0.6612966060638428,0.6368540525436401,0.7980313301086426,0.6368540525436401
13,643,0.6469442844390869,,,,,
14,649,,0.7885432243347168,,,,
14,689,,,0.6487863659858704,0.6237166523933411,0.7897573709487915,0.6237166523933411
14,689,0.6358329057693481,,,,,
15,699,,0.6055485606193542,,,,
15,735,,,0.6381104588508606,0.6120774149894714,0.7823537588119507,0.6120774149894714
15,735,0.6239818930625916,,,,,
16,749,,0.6614803671836853,,,,
16,781,,,0.6296108365058899,0.6029694676399231,0.7765110731124878,0.6029694676399231
16,781,0.6125807762145996,,,,,
17,799,,0.6808401346206665,,,,
17,827,,,0.6228746175765991,0.5956960320472717,0.7718134522438049,0.5956960320472717
17,827,0.6037543416023254,,,,,
18,849,,0.7237556576728821,,,,
18,873,,,0.6166893243789673,0.5894185304641724,0.7677359580993652,0.5894185304641724
18,873,0.5963714718818665,,,,,
19,899,,0.6006011962890625,,,,
19,919,,,0.6114030480384827,0.5843232870101929,0.7644104361534119,0.5843232870101929
19,919,0.5903947353363037,,,,,
20,949,,0.6178467869758606,,,,
20,965,,,0.605751633644104,0.5798915028572083,0.7615060806274414,0.5798915028572083
20,965,0.584143877029419,,,,,
21,999,,0.5096408724784851,,,,
21,1011,,,0.5997963547706604,0.5755525231361389,0.7586517930030823,0.5755525231361389
21,1011,0.5787026286125183,,,,,
22,1049,,0.5842804908752441,,,,
22,1057,,,0.5941135883331299,0.572374701499939,0.7565544843673706,0.572374701499939
22,1057,0.5727954506874084,,,,,
23,1099,,0.5308578610420227,,,,
23,1103,,,0.5891749858856201,0.569433331489563,0.7546080946922302,0.569433331489563
23,1103,0.5675899386405945,,,,,
24,1149,,0.2812395691871643,,,,
24,1149,,,0.5847004055976868,0.5666897296905518,0.7527880072593689,0.5666897296905518
24,1149,0.5625713467597961,,,,,
25,1195,,,0.5806817412376404,0.5639761686325073,0.750983476638794,0.5639761686325073
25,1195,0.5579128861427307,,,,,
26,1199,,0.5448284149169922,,,,
26,1241,,,0.5773731470108032,0.5616251230239868,0.7494165301322937,0.5616251230239868
26,1241,0.5535230040550232,,,,,
27,1249,,0.549598753452301,,,,
27,1287,,,0.5746606588363647,0.5594100952148438,0.7479372024536133,0.5594100952148438
27,1287,0.5494736433029175,,,,,
28,1299,,0.4527096450328827,,,,
28,1333,,,0.572404146194458,0.5574368238449097,0.7466168999671936,0.5574368238449097
28,1333,0.5456862449645996,,,,,
29,1349,,0.41714364290237427,,,,
29,1379,,,0.5708655118942261,0.5561330318450928,0.7457432746887207,0.5561330318450928
29,1379,0.5421832203865051,,,,,
