epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.928942084312439,0.9261203408241272,0.9623515009880066,0.9261203408241272
0,45,0.9809536933898926,,,,,
1,49,,0.9201421141624451,,,,
1,91,,,0.9431951642036438,0.9698804020881653,0.984825074672699,0.9698804020881653
1,91,0.9682588577270508,,,,,
2,99,,0.8092732429504395,,,,
2,137,,,0.8928595781326294,0.860133171081543,0.9274336099624634,0.860133171081543
2,137,0.9072824120521545,,,,,
3,149,,0.9485881328582764,,,,
3,183,,,0.9104049205780029,0.9070966839790344,0.9524162411689758,0.9070966839790344
3,183,0.927880048751831,,,,,
4,199,,0.9275120496749878,,,,
4,229,,,0.8507259488105774,0.825787365436554,0.9087284207344055,0.825787365436554
4,229,0.8488833904266357,,,,,
5,249,,0.8322027921676636,,,,
5,275,,,0.8288360238075256,0.8150398135185242,0.9027955532073975,0.8150398135185242
5,275,0.8460590839385986,,,,,
6,299,,0.7432748079299927,,,,
6,321,,,0.8129664063453674,0.7875810265541077,0.8874576091766357,0.7875810265541077
6,321,0.8129530549049377,,,,,
7,349,,0.7012941241264343,,,,
7,367,,,0.7956377863883972,0.7701846957206726,0.877601683139801,0.7701846957206726
7,367,0.7885754704475403,,,,,
8,399,,0.6397369503974915,,,,
8,413,,,0.7787672281265259,0.7573979496955872,0.8702861666679382,0.7573979496955872
8,413,0.7635830044746399,,,,,
9,449,,0.7699756026268005,,,,
9,459,,,0.7530850768089294,0.7222974896430969,0.8498808741569519,0.7222974896430969
9,459,0.7352577447891235,,,,,
10,499,,0.842491090297699,,,,
10,505,,,0.7376390099525452,0.6999230980873108,0.8366140723228455,0.6999230980873108
10,505,0.7048882246017456,,,,,
11,549,,0.623363196849823,,,,
11,551,,,0.7206839323043823,0.6824480295181274,0.8261041641235352,0.6824480295181274
11,551,0.6810516119003296,,,,,
12,597,,,0.7035013437271118,0.669908344745636,0.8184792995452881,0.669908344745636
12,597,0.6609926223754883,,,,,
13,599,,0.8005246520042419,,,,
13,643,,,0.6901689767837524,0.6620343327522278,0.8136549592018127,0.6620343327522278
13,643,0.6440604329109192,,,,,
14,649,,0.7807674407958984,,,,
14,689,,,0.6760330200195312,0.6546832919120789,0.8091250061988831,0.6546832919120789
14,689,0.6301732659339905,,,,,
15,699,,0.5745149254798889,,,,
15,735,,,0.6617376804351807,0.645384669303894,0.8033583760261536,0.645384669303894
15,735,0.6174072623252869,,,,,
16,749,,0.580969512462616,,,,
16,781,,,0.6500756740570068,0.6362945437431335,0.7976807355880737,0.6362945437431335
16,781,0.6059530973434448,,,,,
17,799,,0.7269172668457031,,,,
17,827,,,0.6401541233062744,0.6284501552581787,0.7927485108375549,0.6284501552581787
17,827,0.5958297252655029,,,,,
18,849,,0.6846081614494324,,,,
18,873,,,0.632655680179596,0.6223211288452148,0.7888733148574829,0.6223211288452148
18,873,0.5875483155250549,,,,,
19,899,,0.5664582252502441,,,,
19,919,,,0.6263998746871948,0.6176105737686157,0.7858819961547852,0.6176105737686157
19,919,0.5802556872367859,,,,,
20,949,,0.6641982793807983,,,,
20,965,,,0.6204981207847595,0.6131494045257568,0.7830385565757751,0.6131494045257568
20,965,0.5741515159606934,,,,,
21,999,,0.5868815779685974,,,,
21,1011,,,0.6146886348724365,0.6087308526039124,0.7802120447158813,0.6087308526039124
21,1011,0.5690291523933411,,,,,
22,1049,,0.5911213755607605,,,,
22,1057,,,0.6089826822280884,0.6045335531234741,0.777517557144165,0.6045335531234741
22,1057,0.5645763278007507,,,,,
23,1099,,0.4737004041671753,,,,
23,1103,,,0.603375256061554,0.6008805632591248,0.7751649022102356,0.6008805632591248
23,1103,0.5601983666419983,,,,,
24,1149,,0.17451056838035583,,,,
24,1149,,,0.5983432531356812,0.5976865887641907,0.7731019258499146,0.5976865887641907
24,1149,0.5557652115821838,,,,,
25,1195,,,0.5939529538154602,0.5943782925605774,0.7709593176841736,0.5943782925605774
25,1195,0.5513688921928406,,,,,
26,1199,,0.6138309836387634,,,,
26,1241,,,0.5902157425880432,0.5905494093894958,0.7684721350669861,0.5905494093894958
26,1241,0.5468282699584961,,,,,
27,1249,,0.48179325461387634,,,,
27,1287,,,0.5871853232383728,0.5867115259170532,0.7659710049629211,0.5867115259170532
27,1287,0.5421648621559143,,,,,
28,1299,,0.46206730604171753,,,,
28,1333,,,0.5849185585975647,0.5833946466445923,0.7638027667999268,0.5833946466445923
28,1333,0.5378531813621521,,,,,
29,1349,,0.5591543912887573,,,,
29,1379,,,0.5831531882286072,0.5805697441101074,0.7619512677192688,0.5805697441101074
29,1379,0.5341184139251709,,,,,
