epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9387149214744568,0.9363921284675598,0.9676735997200012,0.9363921284675598
0,45,0.980851411819458,,,,,
1,49,,0.8778570890426636,,,,
1,91,,,0.9533404111862183,0.9380548596382141,0.9685323238372803,0.9380548596382141
1,91,0.9510445594787598,,,,,
2,99,,0.8226840496063232,,,,
2,137,,,0.940214216709137,0.9241201281547546,0.9613116383552551,0.9241201281547546
2,137,0.9345599412918091,,,,,
3,149,,0.9857196807861328,,,,
3,183,,,0.885602593421936,0.8690682053565979,0.9322382807731628,0.8690682053565979
3,183,0.8835012316703796,,,,,
4,199,,0.9473507404327393,,,,
4,229,,,0.8720301389694214,0.8509765267372131,0.9224839210510254,0.8509765267372131
4,229,0.874007523059845,,,,,
5,249,,0.8340439200401306,,,,
5,275,,,0.8548439741134644,0.8319963812828064,0.9121383428573608,0.8319963812828064
5,275,0.8312864303588867,,,,,
6,299,,0.678307056427002,,,,
6,321,,,0.8228045701980591,0.8157088160514832,0.9031659960746765,0.8157088160514832
6,321,0.8118677139282227,,,,,
7,349,,0.6661584973335266,,,,
7,367,,,0.8028024435043335,0.7923601865768433,0.8901461958885193,0.7923601865768433
7,367,0.7805386185646057,,,,,
8,399,,0.5938871502876282,,,,
8,413,,,0.7845595479011536,0.7692522406578064,0.8770702481269836,0.7692522406578064
8,413,0.7515104413032532,,,,,
9,449,,0.676019012928009,,,,
9,459,,,0.7634850740432739,0.736943781375885,0.8584542870521545,0.736943781375885
9,459,0.7232024669647217,,,,,
10,499,,0.7842397689819336,,,,
10,505,,,0.7428740859031677,0.7157520651817322,0.8460213541984558,0.7157520651817322
10,505,0.6990971565246582,,,,,
11,549,,0.6250783801078796,,,,
11,551,,,0.723064661026001,0.7013084292411804,0.8374415636062622,0.7013084292411804
11,551,0.6763835549354553,,,,,
12,597,,,0.7044503092765808,0.6829771399497986,0.8264243006706238,0.6829771399497986
12,597,0.6542180776596069,,,,,
13,599,,0.8963329792022705,,,,
13,643,,,0.6885986328125,0.6707046627998352,0.8189656138420105,0.6707046627998352
13,643,0.6372485756874084,,,,,
14,649,,0.8600922226905823,,,,
14,689,,,0.6740705370903015,0.656592071056366,0.8103036880493164,0.656592071056366
14,689,0.622661828994751,,,,,
15,699,,0.6069918274879456,,,,
15,735,,,0.6609715223312378,0.6446091532707214,0.8028755187988281,0.6446091532707214
15,735,0.6094769835472107,,,,,
16,749,,0.591764509677887,,,,
16,781,,,0.6501815319061279,0.6347000598907471,0.7966806888580322,0.6347000598907471
16,781,0.597858190536499,,,,,
17,799,,0.6673345565795898,,,,
17,827,,,0.6420332193374634,0.6280550956726074,0.792499303817749,0.6280550956726074
17,827,0.588740885257721,,,,,
18,849,,0.6828882694244385,,,,
18,873,,,0.6345411539077759,0.6210727691650391,0.788081705570221,0.6210727691650391
18,873,0.5812112092971802,,,,,
19,899,,0.5827312469482422,,,,
19,919,,,0.6282543540000916,0.6166155338287354,0.7852486968040466,0.6166155338287354
19,919,0.5752243399620056,,,,,
20,949,,0.735154926776886,,,,
20,965,,,0.6222192645072937,0.6125805974006653,0.7826752662658691,0.6125805974006653
20,965,0.5696806907653809,,,,,
21,999,,0.6378190517425537,,,,
21,1011,,,0.61744624376297,0.6092075109481812,0.7805174589157104,0.6092075109481812
21,1011,0.5650132298469543,,,,,
22,1049,,0.6414402723312378,,,,
22,1057,,,0.6122283339500427,0.6057947278022766,0.7783281803131104,0.6057947278022766
22,1057,0.5612881183624268,,,,,
23,1099,,0.4384288191795349,,,,
23,1103,,,0.6077099442481995,0.602997899055481,0.7765294313430786,0.602997899055481
23,1103,0.5581100583076477,,,,,
24,1149,,0.28390637040138245,,,,
24,1149,,,0.6029977798461914,0.599557638168335,0.7743110656738281,0.599557638168335
24,1149,0.5542434453964233,,,,,
25,1195,,,0.5980095267295837,0.5950186848640442,0.771374523639679,0.5950186848640442
25,1195,0.5487570762634277,,,,,
26,1199,,0.6538773775100708,,,,
26,1241,,,0.5944922566413879,0.591505765914917,0.7690941095352173,0.591505765914917
26,1241,0.5422031879425049,,,,,
27,1249,,0.5299155712127686,,,,
27,1287,,,0.5912604928016663,0.5886958837509155,0.7672652006149292,0.5886958837509155
27,1287,0.5361319184303284,,,,,
28,1299,,0.48978209495544434,,,,
28,1333,,,0.5890129208564758,0.5870376825332642,0.7661838531494141,0.5870376825332642
28,1333,0.5313037037849426,,,,,
29,1349,,0.4242223799228668,,,,
29,1379,,,0.5874528288841248,0.5858708024024963,0.765421986579895,0.5858708024024963
29,1379,0.5276039838790894,,,,,
