epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9282478094100952,0.9189695715904236,0.9586290121078491,0.9189695715904236
0,45,0.9746949076652527,,,,,
1,49,,0.8739859461784363,,,,
1,91,,,0.9411317706108093,0.9525696635246277,0.9759967923164368,0.9525696635246277
1,91,0.9589028358459473,,,,,
2,99,,0.8513522148132324,,,,
2,137,,,0.8859623670578003,0.8668301701545715,0.931037187576294,0.8668301701545715
2,137,0.9069799184799194,,,,,
3,149,,0.9380831718444824,,,,
3,183,,,0.8951424360275269,0.9094945788383484,0.9536742568016052,0.9094945788383484
3,183,0.9118562340736389,,,,,
4,199,,0.7721215486526489,,,,
4,229,,,0.8685935139656067,0.8404859900474548,0.9167802333831787,0.8404859900474548
4,229,0.8519467115402222,,,,,
5,249,,0.8262255787849426,,,,
5,275,,,0.8417686820030212,0.8386926054954529,0.9158016443252563,0.8386926054954529
5,275,0.8544994592666626,,,,,
6,299,,0.6502808332443237,,,,
6,321,,,0.8238449692726135,0.8036358952522278,0.8964573740959167,0.8036358952522278
6,321,0.7965719699859619,,,,,
7,349,,0.7258971333503723,,,,
7,367,,,0.7952355146408081,0.8175988793373108,0.9042117595672607,0.8175988793373108
7,367,0.7654871940612793,,,,,
8,399,,0.6612375974655151,,,,
8,413,,,0.7728942036628723,0.7812204957008362,0.8838667869567871,0.7812204957008362
8,413,0.7413377165794373,,,,,
9,449,,0.7205281257629395,,,,
9,459,,,0.7532004714012146,0.75904780626297,0.8712335228919983,0.75904780626297
9,459,0.7133747935295105,,,,,
10,499,,0.7080326080322266,,,,
10,505,,,0.7374195456504822,0.7266290783882141,0.8524253964424133,0.7266290783882141
10,505,0.685729444026947,,,,,
11,549,,0.521607518196106,,,,
11,551,,,0.7251219153404236,0.7187432050704956,0.8477872014045715,0.7187432050704956
11,551,0.6685437560081482,,,,,
12,597,,,0.7078900337219238,0.6966051459312439,0.8346287608146667,0.6966051459312439
12,597,0.6572070121765137,,,,,
13,599,,0.7570312023162842,,,,
13,643,,,0.6916255950927734,0.6843243837356567,0.8272389769554138,0.6843243837356567
13,643,0.644761323928833,,,,,
14,649,,0.8676362037658691,,,,
14,689,,,0.6750898957252502,0.6734081506729126,0.8206145167350769,0.6734081506729126
14,689,0.6249859929084778,,,,,
15,699,,0.6682918667793274,,,,
15,735,,,0.6618740558624268,0.6637234687805176,0.8146922588348389,0.6637234687805176
15,735,0.6102679371833801,,,,,
16,749,,0.5611706376075745,,,,
16,781,,,0.6526085734367371,0.6552448868751526,0.8094719648361206,0.6552448868751526
16,781,0.5974118709564209,,,,,
17,799,,0.5659440159797668,,,,
17,827,,,0.6445780992507935,0.6484338045120239,0.8052538633346558,0.6484338045120239
17,827,0.5871327519416809,,,,,
18,849,,0.7461328506469727,,,,
18,873,,,0.637492835521698,0.6421704292297363,0.8013553619384766,0.6421704292297363
18,873,0.5780150294303894,,,,,
19,899,,0.6376907229423523,,,,
19,919,,,0.6313092112541199,0.6370167136192322,0.7981332540512085,0.6370167136192322
19,919,0.5701965689659119,,,,,
20,949,,0.750510036945343,,,,
20,965,,,0.6257283091545105,0.6326717138290405,0.7954066395759583,0.6326717138290405
20,965,0.5633931756019592,,,,,
21,999,,0.6378562450408936,,,,
21,1011,,,0.620506763458252,0.6286715865135193,0.7928881049156189,0.6286715865135193
21,1011,0.5571282505989075,,,,,
22,1049,,0.615885853767395,,,,
22,1057,,,0.6156139373779297,0.6246399283409119,0.7903416752815247,0.6246399283409119
22,1057,0.5514481663703918,,,,,
23,1099,,0.4780113101005554,,,,
23,1103,,,0.6117475032806396,0.6215296387672424,0.7883715033531189,0.6215296387672424
23,1103,0.5464636087417603,,,,,
24,1149,,0.30760374665260315,,,,
24,1149,,,0.6081258654594421,0.6186203360557556,0.7865241765975952,0.6186203360557556
24,1149,0.5421106219291687,,,,,
25,1195,,,0.6048813462257385,0.6159511804580688,0.7848255634307861,0.6159511804580688
25,1195,0.5380945205688477,,,,,
26,1199,,0.6432291865348816,,,,
26,1241,,,0.6019944548606873,0.6134746670722961,0.7832462191581726,0.6134746670722961
26,1241,0.5344999432563782,,,,,
27,1249,,0.5423309803009033,,,,
27,1287,,,0.5993849635124207,0.6111729145050049,0.7817754745483398,0.6111729145050049
27,1287,0.5310948491096497,,,,,
28,1299,,0.43784672021865845,,,,
28,1333,,,0.5970596075057983,0.6087179183959961,0.7802037596702576,0.6087179183959961
28,1333,0.5279776453971863,,,,,
29,1349,,0.4617721438407898,,,,
29,1379,,,0.5948676466941833,0.6063330173492432,0.7786738872528076,0.6063330173492432
29,1379,0.5250415205955505,,,,,
