iter	Logloss
0	0.6874512505
1	0.681857761
2	0.6759669172
3	0.6703791921
4	0.6652508821
5	0.6605197888
6	0.6555982303
7	0.6512442712
8	0.6460407389
9	0.6416227737
10	0.6376946279
11	0.6328164345
12	0.6296515941
13	0.6256687342
14	0.6220520673
15	0.6182332949
16	0.6149509226
17	0.6112903363
18	0.608344209
19	0.6043899037
20	0.6016458455
21	0.5985120226
22	0.5951673071
23	0.5922260585
24	0.5891373781
25	0.5865004086
26	0.5838925188
27	0.5811855452
28	0.5788865637
29	0.5763649459
30	0.5740574096
31	0.5718524577
32	0.5694031804
33	0.5673567964
34	0.5653294044
35	0.5632498689
36	0.5612846216
37	0.5591408645
38	0.5573765105
39	0.5552827273
40	0.5531749632
41	0.5513012986
42	0.5495006459
43	0.5480735135
44	0.5463461208
45	0.5449502284
46	0.5432216879
47	0.5413779398
48	0.5401742642
49	0.5381878285
50	0.536714827
51	0.5353987677
52	0.5337179464
53	0.53235198
54	0.5306949071
55	0.5290421254
56	0.5278980881
57	0.5267803043
58	0.5257698833
59	0.5244301732
60	0.5232653696
61	0.5218501399
62	0.5208678003
63	0.5194338361
64	0.5181471311
65	0.5170791341
66	0.5161214778
67	0.5148356646
68	0.5135037719
69	0.5125633579
70	0.5112809317
71	0.5103522551
72	0.5093506176
73	0.5084160716
74	0.5072429827
75	0.5061845968
76	0.5051452907
77	0.5041767532
78	0.5032428512
79	0.5022288818
80	0.5011365316
81	0.4999695946
82	0.4991541542
83	0.4982623016
84	0.497570405
85	0.4964976143
86	0.4957180604
87	0.4951028894
88	0.4937841124
89	0.4928288481
90	0.4920554306
91	0.4913665599
92	0.4902881611
93	0.4893392743
94	0.4884063819
95	0.4872512518
96	0.4863463461
97	0.4856254794
98	0.4848199371
99	0.4839344148
100	0.4833397777
101	0.482426933
102	0.4817690831
103	0.4810564479
104	0.4802898002
105	0.4791889678
106	0.4785110871
107	0.4779696282
108	0.4771447139
109	0.4762899925
110	0.4753844864
111	0.4748082437
112	0.4740561603
113	0.4732660576
114	0.4726270189
115	0.4716391149
116	0.4709602432
117	0.4705864701
118	0.4697759096
119	0.4692095244
120	0.4683783027
121	0.467672716
122	0.4670251424
123	0.466413736
124	0.465580294
125	0.465033445
126	0.4643486785
127	0.4638059438
128	0.4631154353
129	0.4626156472
130	0.4618534199
131	0.4611522051
132	0.4606589764
133	0.4602554425
134	0.4595971594
135	0.4587505423
136	0.4582626375
137	0.4577643898
138	0.4571303551
139	0.4568110231
140	0.4561484453
141	0.4553918247
142	0.4548355205
143	0.4543489416
144	0.4537214062
145	0.4532256438
146	0.4525896537
147	0.4521854439
148	0.4514707226
149	0.4508658469
150	0.4501930549
151	0.4496284409
152	0.4492703725
153	0.4489135256
154	0.4483165019
155	0.4479113544
156	0.4473114066
157	0.446896126
158	0.4464862854
159	0.445868493
160	0.4455205735
161	0.4449617403
162	0.4442619382
163	0.4437427479
164	0.443110934
165	0.4426796734
166	0.4422579076
167	0.441710944
168	0.4411223357
169	0.4406472984
170	0.4403066342
171	0.4398974959
172	0.4394030603
173	0.4390414898
174	0.4386369733
175	0.43820756
176	0.4377103877
177	0.4373276818
178	0.4370059306
179	0.436348757
180	0.435963283
181	0.4354322832
182	0.4350052738
183	0.4344487206
184	0.4340769255
185	0.4335243117
186	0.4329531457
187	0.4324876096
188	0.4320352873
189	0.4316292254
190	0.4311316379
191	0.4307424392
192	0.4300946185
193	0.4294626924
194	0.4290139871
195	0.4286364933
196	0.4282574453
197	0.4279626946
198	0.4276508035
199	0.427162352
200	0.4268022616
201	0.4263366801
202	0.4258554157
203	0.4253630742
204	0.4248001786
205	0.4244395348
206	0.4239809716
207	0.4236332732
208	0.4232197043
209	0.4229106481
210	0.4225001454
211	0.4221938511
212	0.4219405936
213	0.4215767719
214	0.4211032233
215	0.4206890012
216	0.420281629
217	0.4199925102
218	0.4197262294
219	0.4193714842
220	0.4188760734
221	0.4184960399
222	0.4181589478
223	0.4177030267
224	0.4172596896
225	0.4169405535
226	0.4165562173
