epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,45,,,0.9401602149009705,0.9565302133560181,0.9780235886573792,0.9565302133560181
0,45,0.9883958101272583,,,,,
1,49,,0.8524523377418518,,,,
1,91,,,0.9404200315475464,0.975580632686615,0.9877148270606995,0.975580632686615
1,91,0.9639668464660645,,,,,
2,99,,0.8491565585136414,,,,
2,137,,,0.8803127408027649,0.8929295539855957,0.9449495077133179,0.8929295539855957
2,137,0.9078813791275024,,,,,
3,149,,0.9460493326187134,,,,
3,183,,,0.8677071928977966,0.8617831468582153,0.9283227920532227,0.8617831468582153
3,183,0.8536522388458252,,,,,
4,199,,0.9511505961418152,,,,
4,229,,,0.8549163937568665,0.8747539520263672,0.935282826423645,0.8747539520263672
4,229,0.8412474393844604,,,,,
5,249,,0.8408910036087036,,,,
5,275,,,0.8324135541915894,0.8588990569114685,0.9267680644989014,0.8588990569114685
5,275,0.8197510838508606,,,,,
6,299,,0.6817829012870789,,,,
6,321,,,0.814395546913147,0.8401649594306946,0.9166051149368286,0.8401649594306946
6,321,0.7948477268218994,,,,,
7,349,,0.6555736064910889,,,,
7,367,,,0.7996753454208374,0.8191078901290894,0.9050458073616028,0.8191078901290894
7,367,0.7610453963279724,,,,,
8,399,,0.6153619885444641,,,,
8,413,,,0.7792182564735413,0.7945467829704285,0.8913735747337341,0.7945467829704285
8,413,0.7329412698745728,,,,,
9,449,,0.7950915694236755,,,,
9,459,,,0.7581682205200195,0.7708443403244019,0.8779774308204651,0.7708443403244019
9,459,0.7038995027542114,,,,,
10,499,,0.7384649515151978,,,,
10,505,,,0.7400628328323364,0.7532065510749817,0.8678747415542603,0.7532065510749817
10,505,0.6775826811790466,,,,,
11,549,,0.6061846017837524,,,,
11,551,,,0.7191960215568542,0.7342086434364319,0.8568597435951233,0.7342086434364319
11,551,0.6547386646270752,,,,,
12,597,,,0.6966598033905029,0.7150777578353882,0.845622718334198,0.7150777578353882
12,597,0.6336049437522888,,,,,
13,599,,0.7851747870445251,,,,
13,643,,,0.6805094480514526,0.70424884557724,0.8391953706741333,0.70424884557724
13,643,0.613201916217804,,,,,
14,649,,0.7434201240539551,,,,
14,689,,,0.6679874658584595,0.7000172734260559,0.8366703391075134,0.7000172734260559
14,689,0.5972189903259277,,,,,
15,699,,0.5894131660461426,,,,
15,735,,,0.6585649847984314,0.6953217387199402,0.8338595032691956,0.6953217387199402
15,735,0.5839356780052185,,,,,
16,749,,0.5305559039115906,,,,
16,781,,,0.6501904726028442,0.6904893517494202,0.8309568762779236,0.6904893517494202
16,781,0.5738951563835144,,,,,
17,799,,0.6246036291122437,,,,
17,827,,,0.6439921855926514,0.6876171231269836,0.8292268514633179,0.6876171231269836
17,827,0.5652159452438354,,,,,
18,849,,0.7129456996917725,,,,
18,873,,,0.6386927366256714,0.6845417022705078,0.8273703455924988,0.6845417022705078
18,873,0.5583006143569946,,,,,
19,899,,0.4929519295692444,,,,
19,919,,,0.6341313123703003,0.6833266615867615,0.8266357779502869,0.6833266615867615
19,919,0.5529205203056335,,,,,
20,949,,0.6667014360427856,,,,
20,965,,,0.6295316815376282,0.680702269077301,0.8250468373298645,0.680702269077301
20,965,0.5492116212844849,,,,,
21,999,,0.4403113126754761,,,,
21,1011,,,0.6240280866622925,0.6765826344490051,0.8225464224815369,0.6765826344490051
21,1011,0.5476725101470947,,,,,
22,1049,,0.5707554817199707,,,,
22,1057,,,0.6174769401550293,0.670335590839386,0.8187402486801147,0.670335590839386
22,1057,0.547579288482666,,,,,
23,1099,,0.45501279830932617,,,,
23,1103,,,0.6110705137252808,0.6642794013023376,0.8150333762168884,0.6642794013023376
23,1103,0.5471332669258118,,,,,
24,1149,,0.262389212846756,,,,
24,1149,,,0.6046611666679382,0.65611332654953,0.8100082278251648,0.65611332654953
24,1149,0.5440956950187683,,,,,
25,1195,,,0.599495530128479,0.6469129920005798,0.8043090105056763,0.6469129920005798
25,1195,0.536811351776123,,,,,
26,1199,,0.5541086196899414,,,,
26,1241,,,0.5953635573387146,0.63882976770401,0.7992683053016663,0.63882976770401
26,1241,0.5287933945655823,,,,,
27,1249,,0.5139110088348389,,,,
27,1287,,,0.5928959846496582,0.6334624886512756,0.7959035634994507,0.6334624886512756
27,1287,0.5222032070159912,,,,,
28,1299,,0.44778817892074585,,,,
28,1333,,,0.5907573699951172,0.6294979453086853,0.7934090495109558,0.6294979453086853
28,1333,0.5173947215080261,,,,,
29,1349,,0.3981530964374542,,,,
29,1379,,,0.5891014337539673,0.626711905002594,0.7916513681411743,0.626711905002594
29,1379,0.5133064389228821,,,,,
